node   1  (   0,    0) (   5,    3) (   8,    4) (   7,    4) (   5,    5) (   5,    2) (   5,    6) (   5,    6) (   5,    5) (   5,    7)
          (   5,    3) (   5,    4) (   5,    4) (   5,    3) (   5,    8) (   5,    1) (   5,    4) (   5,    5) (   5,    4) (   5,    4)
          (   5,    5) (   5,    2) (   5,    5) (   5,    6) (   5,    4) (   5,    5) (   5,    5) (   5,    6) (   5,    6) (   5,    7)
          (   5,    8) (   5,    3) (   5,    8) (   5,    9) (   5,    4) (   5,    3) (   5,    3) (   5,    5) (   5,    5) (   5,    5)
          (   5,    4) (   5,    5) (   5,    6) (   5,    4) (   5,    5) (   5,    6) (   5,    5) (   5,    3) (   5,    5) (   5,    6)
          (   5,    6) (   5,    6) (   3,    3) (   5,    3) (   4,    2) (   4,    5) (   4,    5) (   4,    4) (   5,    5) (   4,    6)
          (   4,    4) (   5,    6) (   5,    4) (   3,    2) (   4,    8) (   5,    7) (   4,    6) (   3,    4) (   5,    5) (   4,    5)
          (   5,    4) (   4,    6) (   4,    3) (   4,    2) (   5,    4) (   5,    4) (   5,    5) (   5,    6) (   4,    5) (   5,    6)
          (   3,    4) (   4,    5) (   5,    4) (   5,    5) (   5,    6) (   5,    6) (   5,    7) (   5,    5) (   5,    7) (   4,    3)
          (   4,    8) (   5,    3) (   4,    4) (   5,    5) (   5,    5) (   5,    5) (   4,    5) (   5,    3) (   5,    7) (   3,    4)
          (   3,    2) (   5,    6) (   5,    6) (   5,    6) (   4,    4) (   5,    3) (   4,    3) (   4,    5) (   5,    4) (   5,    4)
          (   5,    4) (   5,    7) (   4,    2) (   5,    5) (   5,    5) (   5,    4) (   5,    6) (   5,    4) (   5,    3) (   5,    5)
          (   3,    2) (   4,    4) (   4,    3) (   4,    4) (   4,    4) (   4,    5) (   4,    4) (   5,    5) (   3,    6) (   5,    3)
          (   5,    3) (   4,    6) (   3,    3) (   4,    4) (   3,    5) (   4,    5) (   5,    7) (   5,    6) (   4,    5) (   4,    5)
          (   5,    5) (   4,    6) (   3,    6) (   4,    3) (   4,    5) (   4,    5) (   4,    4) (   5,    5) (   5,    7) (   3,    6)
          (   5,    5) (   4,    8) (   5,    3) (   5,    6) (   4,    4) (   3,    4) (   4,    6) (   5,    6) (   5,    4) (   4,    7)
          (   5,    4) (   5,    4) (   4,    6) (   4,    5) (   5,    6) (   4,    6) (   4,    5) (   5,    3) (   5,    5) (   4,    6)
          (   4,    6) (   4,    1) (   5,    6) (   4,    3) (   5,    4) (   2,    5) (   5,    3) (   5,    8) (   5,    3) (   5,    2)
          (   5,    3) (   4,    7) (   4,    6) (   5,    4) (   4,    6) (   4,    2) (   4,    1) (   4,    5) (   3,    3) (   4,    4)
          (   5,    2) (   5,    6) (   3,    6) (   4,    4) (   5,    3) (   4,    6) (   4,    5) (   3,    5) (   5,    5) (   4,    5)
          (   5,    7) (   4,    5) (   5,    2) (   5,    1) (   5,    4) (   4,    5) (   5,    2) (   5,    6) (   4,    8) (   5,    4)
          (   5,    6) (   5,    3) (   5,    7) (   3,    3) (   5,    4) (   5,    3) (   5,    5) (   5,    6) (   3,    5) (   4,    4)
          (   4,    6) (   5,    5) (   3,    4) (   5,    3) (   3,    5) (   5,    3) (   5,    3) (   4,    7) (   5,    5) (   5,    4)
          (   4,    7) (   4,    3) (   5,    7) (   5,    3) (   5,    5) (   4,    6) (   5,    5) (   5,    4) (   4,    6) (   4,    3)
          (   4,    5) (   4,    7) (   4,    3) (   5,    5) (   3,    4) (   5,    7) (   5,    6) (   5,    5) (   5,    5) (   5,    8)
          (   4,    8) (   3,    5) (   4,    6) (   5,    4) (   5,    3) (   5,    7) (   4,    7) (   5,    7) (   4,    5) (   5,    4)
          (   5,    2) (   5,    3) (   4,    6) (   5,    7) (   3,    7) (   5,    4) (   3,    4) (   5,    4) (   5,    7) (   5,    2)
          (   5,    6) (   5,    6) (   5,    6) (   5,    4) (   5,    4) (   5,    5) (   3,    2) (   3,    5) (   5,    4) (   4,    6)
          (   3,    7) (   5,    3) (   5,    7) (   5,    4) (   5,    5) (   5,    5) (   4,    4) (   5,    4) (   4,    6) (   5,    5)
          (   4,    4) (   5,    2) (   5,    6) (   5,    2) (   4,    4) (   5,    2) (   4,    7) (   5,    6) (   5,    9) (   5,    5)
